# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Si Z=14  Koga1999  E=-288.854362454 Ha  T_KS=288.85433432 Ha
1.067861314762220633e-06 1.765564007909888232e+03 -4.943766161244479736e+04 2.444082385706597805e+09 -9.259051874833972168e+10 1.783162798470343405e+05 7.405272305155871436e+05 1.402014821025959757e-01 -9.377492980630251623e+03 1.730383587593599805e+05
1.072545793505269650e-06 1.765563776320227817e+03 -4.943765507552138297e+04 2.444081739366225243e+09 -9.218609972018824768e+10 1.783162565531607252e+05 7.405270686235595495e+05 1.402014940668954435e-01 -9.336535789117478998e+03 1.730383356966689753e+05
1.077250822052671637e-06 1.765563543714665229e+03 -4.943764850992275751e+04 2.444081090190667629e+09 -9.178344704304534912e+10 1.783162331571048126e+05 7.405269060213828925e+05 1.402015060836804550e-01 -9.295757483293429686e+03 1.730383125328097958e+05
1.081976490552013943e-06 1.765563310088740991e+03 -4.943764191552314151e+04 2.444080438167490482e+09 -9.138255300215072632e+10 1.783162096584186365e+05 7.405267427059400361e+05 1.402015181531819921e-01 -9.255157281852380038e+03 1.730382892673391034e+05
1.086722889546342422e-06 1.765563075437983343e+03 -4.943763529219620250e+04 2.444079783284203529e+09 -9.098340991643927002e+10 1.783161860566519317e+05 7.405265786741052289e+05 1.402015302756303983e-01 -9.214734406900983231e+03 1.730382658998107945e+05
1.091490109975896583e-06 1.765562839757894835e+03 -4.943762863981503324e+04 2.444079125528259754e+09 -9.058601013839376831e+10 1.783161623513523955e+05 7.405264139227347914e+05 1.402015424512583486e-01 -9.174488083943488164e+03 1.730382424297771940e+05
1.096278243179850240e-06 1.765562603043959825e+03 -4.943762195825220260e+04 2.444078464887060165e+09 -9.019034605389868164e+10 1.783161385420660663e+05 7.405262484486720059e+05 1.402015546802992674e-01 -9.134417541866852844e+03 1.730382188567888516e+05
1.101087380898062970e-06 1.765562365291643800e+03 -4.943761524737967557e+04 2.444077801347947598e+09 -8.979641008209393311e+10 1.783161146283365670e+05 7.405260822487475816e+05 1.402015669629873285e-01 -9.094522012925946910e+03 1.730381951803939301e+05
1.105917615272837912e-06 1.765562126496391102e+03 -4.943760850706890778e+04 2.444077134898211956e+09 -8.940419467522984314e+10 1.783160906097060360e+05 7.405259153197768610e+05 1.402015792995580656e-01 -9.054800732728877847e+03 1.730381714001390501e+05
1.110769038850686138e-06 1.765561886653627653e+03 -4.943760173719076556e+04 2.444076465525087357e+09 -8.901369231852255249e+10 1.783160664857142256e+05 7.405257476585627301e+05 1.402015916902476511e-01 -9.015252940222322650e+03 1.730381475155685330e+05
