# r  R1s dR1s  R2s dR2s  R3s dR3s  R2p dR2p  R3p dR3p
# Si Koga 1999 per-orbital radial wavefunctions and derivatives.
# Occupations: 1s=2, 2s=2, 3s=2, 2p=6, 3p=2
# Column index: 0=r, 1-2=R1s/dR1s, 3-4=R2s/dR2s, 5-6=R3s/dR3s, 7-8=R2p/dR2p, 9-10=R3p/dR3p
9.999999999999999547e-07 -1.015622559959912934e+02 1.421984479460031707e+03 -2.702889990518316665e+01 3.782181451951605027e+02 6.923412438308469419e+00 -9.685137647582213560e+01 8.519916109250068943e-05 8.519856436767133800e+01 -1.820184521016532923e-05 -1.820171784492411504e+01
1.004386785698002682e-06 -1.015622497580503136e+02 1.421984390333707552e+03 -2.702889824602126012e+01 3.782181262965172550e+02 6.923412013442249879e+00 -9.685137174727138643e+01 8.557290892467588062e-05 8.519855913228470001e+01 -1.828169224323552910e-05 -1.820171672748048053e+01
1.008792815284765558e-06 -1.015622434927451962e+02 1.421984300816410723e+03 -2.702889657958105118e+01 3.782181073149704389e+02 6.923411586712249211e+00 -9.685136699797764948e+01 8.594829628537807911e-05 8.519855387393188551e+01 -1.836188954319414608e-05 -1.820171560513492182e+01
1.013218173179104541e-06 -1.015622371999559874e+02 1.421984210906426597e+03 -2.702889490583060805e+01 3.782180882501566543e+02 6.923411158110297059e+00 -9.685136222785003213e+01 8.632533036666425281e-05 8.519854859251201162e+01 -1.844243864654355420e-05 -1.820171447786593077e+01
1.017662944170163050e-06 -1.015622308795619944e+02 1.421984120602031908e+03 -2.702889322473786038e+01 3.782180691017103413e+02 6.923410727628179551e+00 -9.685135743679707332e+01 8.670401839213971479e-05 8.519854328792401077e+01 -1.852334109652608386e-05 -1.820171334565191046e+01
1.022127213419035944e-06 -1.015622245314421974e+02 1.421984029901497024e+03 -2.702889153627060992e+01 3.782180498692647461e+02 6.923410295257652614e+00 -9.685135262472701356e+01 8.708436761709625071e-05 8.519853796006619007e+01 -1.860459844315354600e-05 -1.820171220847117155e+01
1.026611066460401961e-06 -1.015622181554749943e+02 1.421983938803084584e+03 -2.702888984039649856e+01 3.782180305524516370e+02 6.923409860990431319e+00 -9.685134779154763862e+01 8.746638532865137099e-05 8.519853260883650137e+01 -1.868621224323690534e-05 -1.820171106630192170e+01
1.031114589204161672e-06 -1.015622117515382001e+02 1.421983847305049039e+03 -2.702888813708304738e+01 3.782180111509006792e+02 6.923409424818200542e+00 -9.685134293716642162e+01 8.785007884588768505e-05 8.519852723413241335e+01 -1.876818406041616373e-05 -1.820170991912227976e+01
1.035637867937084322e-06 -1.015622053195091326e+02 1.421983755405637567e+03 -2.702888642629759630e+01 3.782179916642402873e+02 6.923408986732585646e+00 -9.685133806149023883e+01 8.823545551999318346e-05 8.519852183585091154e+01 -1.885051546519027056e-05 -1.820170876691027573e+01
1.040180989324460604e-06 -1.015621988592645124e+02 1.421983663103087565e+03 -2.702888470800739640e+01 3.782179720920968293e+02 6.923408546725212886e+00 -9.685133316442569651e+01 8.862252273440219782e-05 8.519851641388864039e+01 -1.893320803494720939e-05 -1.820170760964381884e+01
1.044744040411763482e-06 -1.015621923706806058e+02 1.421983570395633251e+03 -2.702888298217950336e+01 3.782179524340955368e+02 6.923408104787640127e+00 -9.685132824587905986e+01 8.901128790493655031e-05 8.519851096814166169e+01 -1.901626335399425393e-05 -1.820170644730075082e+01
1.049327108626315356e-06 -1.015621858536331388e+02 1.421983477281496789e+03 -2.702888124878087339e+01 3.782179326898597083e+02 6.923407660911412798e+00 -9.685132330575602566e+01 8.940175847994792299e-05 8.519850549850568200e+01 -1.909968301358824783e-05 -1.820170527985878195e+01
1.053930281778963714e-06 -1.015621793079971695e+02 1.421983383758894661e+03 -2.702887950777829218e+01 3.782179128590111077e+02 6.923407215088007938e+00 -9.685131834396196382e+01 8.979394194046032198e-05 8.519850000487585362e+01 -1.918346861196615200e-05 -1.820170410729557275e+01
1.058553648065763543e-06 -1.015621727336473725e+02 1.421983289826035161e+03 -2.702887775913838908e+01 3.782178929411699073e+02 6.923406767308904364e+00 -9.685131336040174688e+01 9.018784580031355804e-05 8.519849448714697360e+01 -1.926762175437564631e-05 -1.820170292958864167e+01
1.063197296069667166e-06 -1.015621661304576975e+02 1.421983195481118855e+03 -2.702887600282767622e+01 3.782178729359543468e+02 6.923406317565507173e+00 -9.685130835497996316e+01 9.058347760630701179e-05 8.519848894521329896e+01 -1.935214405310584630e-05 -1.820170174671542185e+01
1.067861314762220633e-06 -1.015621594983017388e+02 1.421983100722337895e+03 -2.702887423881249518e+01 3.782178528429812445e+02 6.923405865849207252e+00 -9.685130332760078886e+01 9.098084493834425273e-05 8.519848337896866042e+01 -1.943703712751824366e-05 -1.820170055865325409e+01
1.072545793505269650e-06 -1.015621528370523379e+02 1.421983005547877156e+03 -2.702887246705905611e+01 3.782178326618653728e+02 6.923405412151345750e+00 -9.685129827816774650e+01 9.137995540957836299e-05 8.519847778830644813e+01 -1.952230260407766696e-05 -1.820169936537938327e+01
1.077250822052671637e-06 -1.015621461465819522e+02 1.421982909955912191e+03 -2.702887068753339506e+01 3.782178123922203099e+02 6.923404956463230064e+00 -9.685129320658411700e+01 9.178081666655774897e-05 8.519847217311949805e+01 -1.960794211638349990e-05 -1.820169816687094411e+01
1.081976490552013943e-06 -1.015621394267622861e+02 1.421982813944612872e+03 -2.702886890020144151e+01 3.782177920336578723e+02 6.923404498776142724e+00 -9.685128811275284022e+01 9.218343638937240021e-05 8.519846653330026243e+01 -1.969395730520091649e-05 -1.820169696310496477e+01
1.086722889546342422e-06 -1.015621326774647315e+02 1.421982717512138834e+03 -2.702886710502894374e+01 3.782177715857875455e+02 6.923404039081293426e+00 -9.685128299657621653e+01 9.258782229180124600e-05 8.519846086874066771e+01 -1.978034981849235679e-05 -1.820169575405839524e+01
1.091490109975896583e-06 -1.015621258985599127e+02 1.421982620656642894e+03 -2.702886530198150083e+01 3.782177510482179628e+02 6.923403577369892758e+00 -9.685127785795630473e+01 9.299398212145995927e-05 8.519845517933219980e+01 -1.986712131144909753e-05 -1.820169453970805762e+01
1.096278243179850240e-06 -1.015621190899179567e+02 1.421982523376269228e+03 -2.702886349102458041e+01 3.782177304205554833e+02 6.923403113633090022e+00 -9.685127269679455253e+01 9.340192365994908570e-05 8.519844946496580462e+01 -1.995427344652290407e-05 -1.820169332003070650e+01
1.101087380898062970e-06 -1.015621122514084078e+02 1.421982425669153827e+03 -2.702886167212348312e+01 3.782177097024048749e+02 6.923402647861990999e+00 -9.685126751299222292e+01 9.381165472300343324e-05 8.519844372553205858e+01 -2.004180789345794313e-05 -1.820169209500294727e+01
