# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Xe Z=54  Koga1999  E=-7232.138355835 Ha  T_KS=4821.42602443 Ha
1.044744040411763482e-06 1.112113827733617945e+05 -1.201340214050044678e+07 1.443218309893807188e+14 -2.299648877940214062e+13 1.749996398551431298e+08 7.384435859482922554e+08 1.318034354174592304e-01 -2.335637672633168677e+03 1.622156691499543488e+08
1.049327108626315356e-06 1.112113277151340153e+05 -1.201339617588448711e+07 1.443216876787560312e+14 -2.289603166828546094e+13 1.749995569725846350e+08 7.384429766373351812e+08 1.318034785451970281e-01 -2.325436668029633893e+03 1.622155883801172376e+08
1.053930281778963714e-06 1.112112724154050666e+05 -1.201339018510598689e+07 1.443215437396008438e+14 -2.279601331625625391e+13 1.749994737264783084e+08 7.384423646539679766e+08 1.318035218621404769e-01 -2.315280217597456158e+03 1.622155072559997439e+08
1.058553648065763543e-06 1.112112168731157726e+05 -1.201338416805020161e+07 1.443213991691592500e+14 -2.269643180697903125e+13 1.749993901152296066e+08 7.384417499864717722e+08 1.318035653691195797e-01 -2.305168126740683419e+03 1.622154257760481536e+08
1.063197296069667166e-06 1.112111610872023884e+05 -1.201337812460188568e+07 1.443212539646631250e+14 -2.259728523248813281e+13 1.749993061372370720e+08 7.384411326230772734e+08 1.318036090669679750e-01 -2.295100201713283241e+03 1.622153439387016594e+08
1.067861314762220633e-06 1.112111050565964106e+05 -1.201337205464529060e+07 1.443211081233324062e+14 -2.249857169315120703e+13 1.749992217908924520e+08 7.384405125519622564e+08 1.318036529565231318e-01 -2.285076249615438883e+03 1.622152617423929870e+08
1.072545793505269650e-06 1.112110487802246353e+05 -1.201336595806415007e+07 1.443209616423745625e+14 -2.240028929763276172e+13 1.749991370745797753e+08 7.384398897612527609e+08 1.318036970386261830e-01 -2.275096078389847207e+03 1.622151791855476499e+08
1.077250822052671637e-06 1.112109922570093186e+05 -1.201335983474170603e+07 1.443208145189852812e+14 -2.230243616285796094e+13 1.749990519866770804e+08 7.384392642390247583e+08 1.318037413141218139e-01 -2.265159496818032039e+03 1.622150962665846050e+08
1.081976490552013943e-06 1.112109354858676379e+05 -1.201335368456066586e+07 1.443206667503473125e+14 -2.220501041397651172e+13 1.749989665255541503e+08 7.384386359732974768e+08 1.318037857838589011e-01 -2.255266314516700731e+03 1.622150129839155674e+08
1.086722889546342422e-06 1.112108784657125070e+05 -1.201334750740323588e+07 1.443205183336315312e+14 -2.210801018432680078e+13 1.749988806895741820e+08 7.384380049520434141e+08 1.318038304486888745e-01 -2.245416341934070260e+03 1.622149293359451890e+08
1.091490109975896583e-06 1.112108211954515718e+05 -1.201334130315111019e+07 1.443203692659964062e+14 -2.201143361540007031e+13 1.749987944770934284e+08 7.384373711631768942e+08 1.318038753094686877e-01 -2.235609390346260625e+03 1.622148453210718036e+08
1.096278243179850240e-06 1.112107636739881709e+05 -1.201333507168545388e+07 1.443202195445877500e+14 -2.191527885680484766e+13 1.749987078864602447e+08 7.384367345945641994e+08 1.318039203670571258e-01 -2.225845271853655504e+03 1.622147609376858473e+08
1.101087380898062970e-06 1.112107059002203459e+05 -1.201332881288690865e+07 1.443200691665387812e+14 -2.181954406623146484e+13 1.749986209160164297e+08 7.384360952340134382e+08 1.318039656223183309e-01 -2.216123799377327487e+03 1.622146761841712594e+08
1.105917615272837912e-06 1.112106478730417730e+05 -1.201332252663561516e+07 1.443199181289707188e+14 -2.172422740941679297e+13 1.749985335640960932e+08 7.384354530692840815e+08 1.318040110761191930e-01 -2.206444786655426014e+03 1.622145910589048564e+08
1.110769038850686138e-06 1.112105895913409477e+05 -1.201331621281115897e+07 1.443197664289914375e+14 -2.162932706010905469e+13 1.749984458290262222e+08 7.384348080880786180e+08 1.318040567293309873e-01 -2.196808048239631717e+03 1.622145055602560639e+08
1.115641744584100344e-06 1.112105310540016217e+05 -1.201330987129261531e+07 1.443196140636965938e+14 -2.153484120003287500e+13 1.749983577091262937e+08 7.384341602780468464e+08 1.318041025828285140e-01 -2.187213399491591190e+03 1.622144196865873337e+08
1.120535825833336580e-06 1.112104722599025990e+05 -1.201330350195853040e+07 1.443194610301690938e+14 -2.144076801885443359e+13 1.749982692027087808e+08 7.384335096267838478e+08 1.318041486374908200e-01 -2.177660656579385886e+03 1.622143334362541735e+08
1.125451376368201911e-06 1.112104132079178671e+05 -1.201329710468690656e+07 1.443193073254788125e+14 -2.134710571414672656e+13 1.749981803080782890e+08 7.384328561218316555e+08 1.318041948942001163e-01 -2.168149636473996907e+03 1.622142468076043427e+08
1.130388490369851194e-06 1.112103538969163928e+05 -1.201329067935521714e+07 1.443191529466829375e+14 -2.125385249135513672e+13 1.749980910235323012e+08 7.384321997506765127e+08 1.318042413538429436e-01 -2.158680156945817089e+03 1.622141597989786863e+08
1.135347262432592517e-06 1.112102943257622537e+05 -1.201328422584040649e+07 1.443189978908259375e+14 -2.116100656376294531e+13 1.749980013473607600e+08 7.384315405007505417e+08 1.318042880173097009e-01 -2.149252036561143996e+03 1.622140724087108374e+08
1.140327787565698379e-06 1.112102344933142886e+05 -1.201327774401885271e+07 1.443188421549386875e+14 -2.106856615245714453e+13 1.749979112778459787e+08 7.384308783594282866e+08 1.318043348854948671e-01 -2.139865094678716559e+03 1.622139846351268291e+08
1.145330161195226590e-06 1.112101743984268105e+05 -1.201327123376643285e+07 1.443186857360400625e+14 -2.097652948629440625e+13 1.749978208132630289e+08 7.384302133140339851e+08 1.318043819592963350e-01 -2.130519151446238538e+03 1.622138964765457809e+08
