# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# H Z=1  Koga1999  E=-0.50000000 Ha  T_KS=0.5000000000 Ha
# Note: tau_KS = tau_vW exactly (single orbital) -> alpha_bar = 0 everywhere
1.163435043794907293e-06 3.183091455188996610e-01 -6.366182910377993220e-01 4.052828484838881806e-01 -1.094375751820647856e+06 1.591545727594498305e-01 4.260727730213079711e-01 2.241230834313232834e-01 -1.926388790453030088e+05 1.591545727594498305e-01
1.173260588109462307e-06 3.183091392637785177e-01 -6.366182785275570355e-01 4.052828325553901601e-01 -1.085210801522340626e+06 1.591545696318892589e-01 4.260727590666519293e-01 2.241230863674983365e-01 -1.910256133071471995e+05 1.591545696318892589e-01
1.183169111978047587e-06 3.183091329558311311e-01 -6.366182659116622622e-01 4.052828164923719112e-01 -1.076122603674605722e+06 1.591545664779155655e-01 4.260727449941449918e-01 2.241230893284703596e-01 -1.894258579640068638e+05 1.591545664779155655e-01
1.193161316186916594e-06 3.183091265946115245e-01 -6.366182531892230489e-01 4.052828002936976759e-01 -1.067110515509237070e+06 1.591545632973057622e-01 4.260727308027924543e-01 2.241230923144485188e-01 -1.878394998722322343e+05 1.591545632973057622e-01
1.203237907440664177e-06 3.183091201796696135e-01 -6.366182403593392269e-01 4.052827839582214264e-01 -1.058173899640929652e+06 1.591545600898348067e-01 4.260727164915900644e-01 2.241230953256443115e-01 -1.862664268357023830e+05 1.591545600898348067e-01
1.213399598412209984e-06 3.183091137105518720e-01 -6.366182274211037440e-01 4.052827674847881423e-01 -1.049312124022203032e+06 1.591545568552759360e-01 4.260727020595260761e-01 2.241230983622704565e-01 -1.847065275978895370e+05 1.591545568552759360e-01
1.223647107793201584e-06 3.183091071868007216e-01 -6.366182143736014432e-01 4.052827508722327554e-01 -1.040524561898697517e+06 1.591545535934003608e-01 4.260726875055797502e-01 2.241231014245418929e-01 -1.831596918339909753e+05 1.591545535934003608e-01
1.233981160344844280e-06 3.183091006079546426e-01 -6.366182012159092851e-01 4.052827341193799837e-01 -1.031810591764846235e+06 1.591545503039773213e-01 4.260726728287212994e-01 2.241231045126751698e-01 -1.816258101431257383e+05 1.591545503039773213e-01
1.244402486949160998e-06 3.183090939735485625e-01 -6.366181879470971250e-01 4.052827172250454968e-01 -1.023169597319921246e+06 1.591545469867742812e-01 4.260726580279134423e-01 2.241231076268885569e-01 -1.801047740405974619e+05 1.591545469867742812e-01
1.254911824660684168e-06 3.183090872831130791e-01 -6.366181745662261582e-01 4.052827001880340285e-01 -1.014600967424442177e+06 1.591545436415565395e-01 4.260726431021087945e-01 2.241231107674025724e-01 -1.785964759502216766e+05 1.591545436415565395e-01
1.265509916758584040e-06 3.183090805361750708e-01 -6.366181610723501416e-01 4.052826830071407649e-01 -1.006104096056955634e+06 1.591545402680875354e-01 4.260726280502519225e-01 2.241231139344390666e-01 -1.771008091967175424e+05 1.591545402680875354e-01
1.276197512799237876e-06 3.183090737322574748e-01 -6.366181474645149496e-01 4.052826656811508999e-01 -9.976783822711721295e+05 1.591545368661287374e-01 4.260726128712785665e-01 2.241231171282221102e-01 -1.756176679981627094e+05 1.591545368661287374e-01
1.286975368669242353e-06 3.183090668708788984e-01 -6.366181337417577968e-01 4.052826482088386362e-01 -9.893232301534645958e+05 1.591545334354394492e-01 4.260725975641148078e-01 2.241231203489776613e-01 -1.741469474585125281e+05 1.591545334354394492e-01
1.297844246638874472e-06 3.183090599515541741e-01 -6.366181199031083482e-01 4.052826305889684622e-01 -9.810380487807225436e+05 1.591545299757770870e-01 4.260725821276782344e-01 2.241231235969335656e-01 -1.726885435601806093e+05 1.591545299757770870e-01
1.308804915416003512e-06 3.183090529737938601e-01 -6.366181059475877202e-01 4.052826128202940414e-01 -9.728222521785574500e+05 1.591545264868969300e-01 4.260725665608768864e-01 2.241231268723193337e-01 -1.712423531566825404e+05 1.591545264868969300e-01
1.319858150200458262e-06 3.183090459371045733e-01 -6.366180918742091466e-01 4.052825949015589901e-01 -9.646752592798604164e+05 1.591545229685522866e-01 4.260725508626101998e-01 2.241231301753667526e-01 -1.698082739653403696e+05 1.591545229685522866e-01
1.331004732738853135e-06 3.183090388409885452e-01 -6.366180776819770903e-01 4.052825768314958221e-01 -9.565964938837055815e+05 1.591545194204942726e-01 4.260725350317676741e-01 2.241231335063094410e-01 -1.683862045600491110e+05 1.591545194204942726e-01
1.342245451379879091e-06 3.183090316849438994e-01 -6.366180633698877989e-01 4.052825586088265042e-01 -9.485853846145969583e+05 1.591545158424719497e-01 4.260725190672295937e-01 2.241231368653828493e-01 -1.669760443641028251e+05 1.591545158424719497e-01
1.353581101130057672e-06 3.183090244684645964e-01 -6.366180489369291928e-01 4.052825402322623449e-01 -9.406413648820599774e+05 1.591545122342322982e-01 4.260725029678671394e-01 2.241231402528247874e-01 -1.655776936430816422e+05 1.591545122342322982e-01
1.365012483709971078e-06 3.183090171910402111e-01 -6.366180343820804222e-01 4.052825217005037173e-01 -9.327638728405657457e+05 1.591545085955201055e-01 4.260724867325414444e-01 2.241231436688745637e-01 -1.641910534977977513e+05 1.591545085955201055e-01
1.376540407610961487e-06 3.183090098521560440e-01 -6.366180197043120881e-01 4.052825030122398919e-01 -9.249523513497974491e+05 1.591545049260780220e-01 4.260724703601044272e-01 2.241231471137739295e-01 -1.628160258573008468e+05 1.591545049260780220e-01
1.388165688152314468e-06 3.183090024512930660e-01 -6.366180049025861321e-01 4.052824841661492039e-01 -9.172062479352442315e+05 1.591545012256465330e-01 4.260724538493981806e-01 2.241231505877666341e-01 -1.614525134719419293e+05 1.591545012256465330e-01
1.399889147538921801e-06 3.183089949879278069e-01 -6.366179899758556138e-01 4.052824651608986084e-01 -9.095250147491269745e+05 1.591544974939639034e-01 4.260724371992546944e-01 2.241231540910981757e-01 -1.601004199064953136e+05 1.591544974939639034e-01
1.411711614919432623e-06 3.183089874615325221e-01 -6.366179749230650442e-01 4.052824459951442915e-01 -9.019081085316532990e+05 1.591544937307662611e-01 4.260724204084968547e-01 2.241231576240164114e-01 -1.587596495333379717e+05 1.591544937307662611e-01
1.423633926444895000e-06 3.183089798715747487e-01 -6.366179597431494974e-01 4.052824266675303377e-01 -8.943549905725929420e+05 1.591544899357873744e-01 4.260724034759366674e-01 2.241231611867712525e-01 -1.574301075256867043e+05 1.591544899357873744e-01
1.435656925327894284e-06 3.183089722175178604e-01 -6.366179444350357208e-01 4.052824071766902292e-01 -8.868651266731790965e+05 1.591544861087589302e-01 4.260723864003770345e-01 2.241231647796146087e-01 -1.561116998508908146e+05 1.591544861087589302e-01
1.447781461902188679e-06 3.183089644988203459e-01 -6.366179289976406919e-01 4.052823875212450688e-01 -8.794379871083254693e+05 1.591544822494101730e-01 4.260723691806097557e-01 2.241231684028007209e-01 -1.548043332637823478e+05 1.591544822494101730e-01
1.460008393682850066e-06 3.183089567149364196e-01 -6.366179134298728393e-01 4.052823676998050795e-01 -8.720730465891617350e+05 1.591544783574682098e-01 4.260723518154173606e-01 2.241231720565857455e-01 -1.535079153000803490e+05 1.591544783574682098e-01
1.472338585426912827e-06 3.183089488653156329e-01 -6.366178977306312659e-01 4.052823477109684935e-01 -8.647697842258826131e+05 1.591544744326578165e-01 4.260723343035719424e-01 2.241231757412279202e-01 -1.522223542698521342e+05 1.591544744326578165e-01
1.484772909194533231e-06 3.183089409494026523e-01 -6.366178818988053045e-01 4.052823275533212199e-01 -8.575276834909061436e+05 1.591544704747013261e-01 4.260723166438343812e-01 2.241231794569881197e-01 -1.509475592510280258e+05 1.591544704747013261e-01
1.497312244410666977e-06 3.183089329666377587e-01 -6.366178659332755174e-01 4.052823072254379544e-01 -8.503462321823440725e+05 1.591544664833188794e-01 4.260722988349561202e-01 2.241231832041290506e-01 -1.496834400829708611e+05 1.591544664833188794e-01
1.509957477927267464e-06 3.183089249164562373e-01 -6.366178498329124746e-01 4.052822867258806805e-01 -8.432249223877741024e+05 1.591544624582281187e-01 4.260722808756773894e-01 2.241231869829157786e-01 -1.484299073600994307e+05 1.591544624582281187e-01
1.522709504086008157e-06 3.183089167982888767e-01 -6.366178335965777535e-01 4.052822660531999466e-01 -8.361632504483187804e+05 1.591544583991444384e-01 4.260722627647282046e-01 2.241231907936154788e-01 -1.471868724255651177e+05 1.591544583991444384e-01
1.535569224781535406e-06 3.183089086115614696e-01 -6.366178172231229393e-01 4.052822452059335889e-01 -8.291607169230236905e+05 1.591544543057807348e-01 4.260722445008275905e-01 2.241231946364977135e-01 -1.459542473649817402e+05 1.591544543057807348e-01
1.548537549525256590e-06 3.183089003556949792e-01 -6.366178007113899584e-01 4.052822241826070093e-01 -8.222168265535335522e+05 1.591544501778474896e-01 4.260722260826839136e-01 2.241231985118342096e-01 -1.447319450002075755e+05 1.591544501778474896e-01
1.561615395509664649e-06 3.183088920301055391e-01 -6.366177840602110782e-01 4.052822029817335636e-01 -8.153310882290651789e+05 1.591544460150527696e-01 4.260722075089944938e-01 2.241232024198991646e-01 -1.435198788831796846e+05 1.591544460150527696e-01
1.574803687673207679e-06 3.183088836342043426e-01 -6.366177672684086852e-01 4.052821816018137846e-01 -8.085030149516736856e+05 1.591544418171021713e-01 4.260721887784458262e-01 2.241232063609688852e-01 -1.423179632897998672e+05 1.591544418171021713e-01
1.588103358765705282e-06 3.183088751673975314e-01 -6.366177503347950628e-01 4.052821600413354375e-01 -8.017321238018090371e+05 1.591544375836987657e-01 4.260721698897129150e-01 2.241232103353221206e-01 -1.411261132138718967e+05 1.591544375836987657e-01
1.601515349414318463e-06 3.183088666290863067e-01 -6.366177332581726134e-01 4.052821382987737975e-01 -7.950179359041607240e+05 1.591544333145431533e-01 4.260721508414601066e-01 2.241232143432400348e-01 -1.399442443610889604e+05 1.591544333145431533e-01
1.615040608190075593e-06 3.183088580186668737e-01 -6.366177160373337474e-01 4.052821163725913167e-01 -7.883599763937904499e+05 1.591544290093334368e-01 4.260721316323403118e-01 2.241232183850060122e-01 -1.387722731430725544e+05 1.591544290093334368e-01
1.628680091674961019e-06 3.183088493355301085e-01 -6.366176986710602170e-01 4.052820942612368471e-01 -7.817577743825450307e+05 1.591544246677650543e-01 4.260721122609946176e-01 2.241232224609059909e-01 -1.376101166714600113e+05 1.591544246677650543e-01
