# r  R1s  dR1s
# H Koga 1999: single 1s orbital (occ=1, l=0)
# R1s = 2*exp(-r) analytically (zeta=1, n=1 STO normalised)
# Column index: 0=r, 1=R1s, 2=dR1s
9.999999999999999547e-07 1.999998000001000031e+00 -1.999998000001000031e+00
1.008445288258213243e-06 1.999997983110440414e+00 -1.999997983110440414e+00
1.016961899410190874e-06 1.999997966077235345e+00 -1.999997966077235345e+00
1.025550435798330311e-06 1.999997948900180234e+00 -1.999997948900180234e+00
1.034211504851983217e-06 1.999997931578059829e+00 -1.999997931578059829e+00
1.042945719130418868e-06 1.999997914109649555e+00 -1.999997914109649555e+00
1.051753696366144806e-06 1.999997896493713512e+00 -1.999997896493713512e+00
1.060636059508598284e-06 1.999997878729006029e+00 -1.999997878729006029e+00
1.069593436768204045e-06 1.999997860814270556e+00 -1.999997860814270556e+00
1.078626461660804592e-06 1.999997842748240107e+00 -1.999997842748240107e+00
1.087735773052466747e-06 1.999997824529637036e+00 -1.999997824529637036e+00
1.096922015204665350e-06 1.999997806157172819e+00 -1.999997806157172819e+00
1.106185837819848981e-06 1.999997787629548052e+00 -1.999997787629548052e+00
1.115527896087390852e-06 1.999997768945452226e+00 -1.999997768945452226e+00
1.124948850729927237e-06 1.999997750103563954e+00 -1.999997750103563954e+00
1.134449368050087210e-06 1.999997731102550969e+00 -1.999997731102550969e+00
1.144030119977618180e-06 1.999997711941068790e+00 -1.999997711941068790e+00
1.153691784116907609e-06 1.999997692617762723e+00 -1.999997692617762723e+00
1.163435043794907293e-06 1.999997673131266085e+00 -1.999997673131266085e+00
1.173260588109462307e-06 1.999997653480200421e+00 -1.999997653480200421e+00
1.183169111978047587e-06 1.999997633663175955e+00 -1.999997633663175955e+00
1.193161316186916594e-06 1.999997613678791364e+00 -1.999997613678791364e+00
1.203237907440664177e-06 1.999997593525632889e+00 -1.999997593525632889e+00
1.213399598412209984e-06 1.999997573202275447e+00 -1.999997573202275447e+00
1.223647107793201584e-06 1.999997552707281745e+00 -1.999997552707281745e+00
1.233981160344844280e-06 1.999997532039202053e+00 -1.999997532039202053e+00
1.244402486949160998e-06 1.999997511196574651e+00 -1.999997511196574651e+00
1.254911824660684168e-06 1.999997490177925386e+00 -1.999997490177925386e+00
1.265509916758584040e-06 1.999997468981767890e+00 -1.999997468981767890e+00
1.276197512799237876e-06 1.999997447606603140e+00 -1.999997447606603140e+00
1.286975368669242353e-06 1.999997426050919014e+00 -1.999997426050919014e+00
1.297844246638874472e-06 1.999997404313191174e+00 -1.999997404313191174e+00
1.308804915416003512e-06 1.999997382391882184e+00 -1.999997382391882184e+00
1.319858150200458262e-06 1.999997360285441728e+00 -1.999997360285441728e+00
1.331004732738853135e-06 1.999997337992306168e+00 -1.999997337992306168e+00
1.342245451379879091e-06 1.999997315510898765e+00 -1.999997315510898765e+00
1.353581101130057672e-06 1.999997292839629903e+00 -1.999997292839629903e+00
1.365012483709971078e-06 1.999997269976895753e+00 -1.999997269976895753e+00
1.376540407610961487e-06 1.999997246921079608e+00 -1.999997246921079608e+00
1.388165688152314468e-06 1.999997223670550772e+00 -1.999997223670550772e+00
1.399889147538921801e-06 1.999997200223664562e+00 -1.999997200223664562e+00
1.411711614919432623e-06 1.999997176578763192e+00 -1.999997176578763192e+00
1.423633926444895000e-06 1.999997152734173778e+00 -1.999997152734173778e+00
1.435656925327894284e-06 1.999997128688210557e+00 -1.999997128688210557e+00
1.447781461902188679e-06 1.999997104439172224e+00 -1.999997104439172224e+00
1.460008393682850066e-06 1.999997079985344151e+00 -1.999997079985344151e+00
1.472338585426912827e-06 1.999997055324996831e+00 -1.999997055324996831e+00
1.484772909194533231e-06 1.999997030456386105e+00 -1.999997030456386105e+00
1.497312244410666977e-06 1.999997005377753156e+00 -1.999997005377753156e+00
1.509957477927267464e-06 1.999996980087324072e+00 -1.999996980087324072e+00
1.522709504086008157e-06 1.999996954583310504e+00 -1.999996954583310504e+00
1.535569224781535406e-06 1.999996928863908341e+00 -1.999996928863908341e+00
1.548537549525256590e-06 1.999996902927298814e+00 -1.999996902927298814e+00
1.561615395509664649e-06 1.999996876771647614e+00 -1.999996876771647614e+00
1.574803687673207679e-06 1.999996850395104664e+00 -1.999996850395104664e+00
